cust_id,first_purchase,latest_purchase,frequency,total_spent,lifetime_in_days,CV,CLV
12346,"2009-12-14 08:34:00","2010-06-28 13:53:00",11,372.8599999999999,196,150.6964534545454,20232.837373004866
12347,"2010-10-31 14:20:00","2010-12-07 14:57:00",2,1323.3199999999997,37,2941.6080279999996,394946.7653769416
12348,"2010-09-27 14:59:00","2010-09-27 14:59:00",1,222.16000000000003,0,987.6789280000002,132607.94576692162
12349,"2010-04-29 13:20:00","2010-10-28 08:23:00",3,2671.140000000001,182,3958.4514040000013,531470.394094129
12351,"2010-11-29 15:23:00","2010-11-29 15:23:00",1,300.93,0,1337.8745940000001,179625.9863145468
12352,"2010-11-12 10:20:00","2010-11-29 10:07:00",2,343.79999999999995,17,764.2330199999999,102607.606577844
12353,"2010-10-27 12:44:00","2010-10-27 12:44:00",1,317.75999999999993,0,1412.6974079999998,189671.8619323776
12355,"2010-05-21 11:59:00","2010-05-21 11:59:00",1,488.2099999999999,0,2170.4840179999997,291413.9593215196
12356,"2010-10-11 09:42:00","2010-11-24 12:24:00",3,3562.2499999999986,44,5279.017016666665,708772.4384951032
12357,"2010-11-16 10:05:00","2010-11-16 14:29:00",2,12079.98999999999,0,26852.60977099998,3605290.463595954
12358,"2009-12-08 07:59:00","2010-11-29 10:56:00",3,2719.010000000001,356,4029.3915526666683,540994.9745224428
12359,"2009-12-05 13:32:00","2010-10-10 11:16:00",6,2563.3599999999988,309,1899.364314666666,255012.83148863885
12360,"2010-02-22 09:32:00","2010-11-25 11:04:00",5,1590.83,276,1414.5024028,189914.20450521418
12361,"2010-01-26 14:37:00","2010-09-03 15:19:00",3,321.35,220,476.2192766666667,63938.24776767534
12362,"2009-12-01 10:10:00","2009-12-01 10:10:00",1,130,0,577.9540000000001,77597.37553880001
12366,"2010-03-16 10:28:00","2010-03-16 10:28:00",1,500.24,0,2223.966992,298594.7010733024
12368,"2010-03-21 15:56:00","2010-03-21 15:56:00",1,917.6999999999999,0,4079.91066,547777.781015052
12369,"2010-03-08 08:09:00","2010-10-22 13:13:00",3,1791.1499999999996,228,2654.3648899999994,356380.8697341579
12370,"2010-02-09 09:41:00","2010-03-25 12:10:00",3,774.6200000000001,44,1147.9351986666668,154124.30523042375
12371,"2010-03-04 18:23:00","2010-10-26 13:37:00",3,2179.419999999999,236,3229.755145333332,433634.03127377294
12373,"2010-02-04 12:08:00","2010-03-25 13:49:00",2,763.05,49,1696.183845,227733.374634159
