cust_id,invoice,total_sale,total_pieces
12346,491725,45,10
12346,491742,22.5,5
12346,491744,22.5,5
12346,492718,22.5,5
12346,492722,1,1
12346,493410,22.5,5
12346,493412,22.5,5
12346,494450,22.5,5
12346,495295,22.5,5
12346,499763,27.05,5
12346,513774,142.31,19
12347,529924,611.53,509
12347,537626,711.79,319
12348,524140,222.16,373
12349,506394,1068.52,473
12349,508728,200,1
12349,529344,1402.62,519
12351,536012,300.93,261
12352,532430,143.75,77
12352,535838,200.05,111
12353,529304,317.76,192
12355,509300,488.21,303
12356,526245,910.44,840
12356,532305,2301.96,730
12356,534804,349.85,256
12357,533088,11229.99,3878
12357,533162,850,1
12358,490751,1429.83,309
12358,511229,268.1,281
12358,535879,1021.08,241
12359,490382,760.69,397
12359,492397,78.2,212
12359,500379,337.74,104
12359,502098,345.6,64
12359,513123,489.8,100
12359,526174,551.33,253
12360,498613,118,100
12360,502331,40,1
12360,509627,622.04,655
12360,532443,690.79,535
12360,535105,120,3
12361,495719,109.2,45
12361,507426,98.15,38
12361,521354,114,61
12362,489447,130,1
12366,501333,500.24,296
12368,501904,917.7,330
12369,500367,348.32,209
12369,522773,1259.48,946
12369,528576,183.35,86
12370,497363,562.96,172
12370,502493,141.06,59
12370,502568,70.6,21
12371,500157,320.88,171
12371,500158,286.8,81
12371,529091,1571.74,593
12373,496864,437.9,208
12373,502607,325.15,111
12374,506579,1388.54,798
12374,526941,657.75,217
12374,527058,200,5
12376,527439,432.55,203
12376,532952,70.6,37
12377,506435,1210.96,835
12377,534738,587.24,326
12378,509980,1407.7,787
12379,513275,367.48,163
12379,526893,400.5,245
12380,497947,1508.65,616
12380,497952,1508.65,1
12380,499959,200,1
12380,513964,1765.95,815
12380,513965,686.4,188
12380,513967,145,1
12380,520872,1136.84,606
12385,535321,1938.4,612
12386,537676,258.9,214
12387,528152,143.94,134
12388,507148,461.62,266
12388,523115,658.83,273
12389,498617,164.85,67
12389,509378,398.18,185
12389,530272,870.3,362
12391,497932,712.39,288
12391,498616,38.1,6
12391,505236,1000.5,387
12391,505237,151.2,72
12391,520972,410.34,167
12392,506115,234.75,73
12393,525872,303.8,144
12393,534450,513.05,351
12395,504714,1125.44,734
12395,517823,251.38,127
12395,529690,325.72,226
12395,537026,346.1,528
12396,496703,931.43,591
12399,500163,205.98,219
12399,515020,333.47,530
12399,533815,314.2,271
12400,528335,205.25,91
12402,497210,191.7,87
12402,504860,313.65,168
12402,514814,219.9,92
12402,522597,150.4,80
12402,532423,155.65,63
12403,514808,591.66,164
12404,495742,63.24,1
12406,494143,881.2,452
12406,505547,748,576
12406,531010,1345.86,570
12408,517512,194.1,100
12408,522592,315.06,240
12408,533972,943.06,480
12409,509437,6802.48,4402
12409,511479,211.2,96
12409,514490,101.88,12
12409,527145,5231.06,3082
12410,516935,320.38,130
12411,528959,346.9,138
12412,512902,670.88,642
12412,518508,505.91,371
12412,530383,193.26,155
12413,530310,241.35,33
12414,521126,130,193
12414,521154,130,1
12414,521157,130,1
12415,513987,2326.74,1618
12415,516120,336.24,175
12415,517631,55,1
12415,527350,250.98,229
12415,528168,10,1
12415,530669,10,1
12415,536009,16554.88,12048
12416,498550,202.56,132
12417,490397,309.1,142
12417,491169,8.5,10
12417,493899,404.55,200
12417,500237,498.04,267
12417,503438,245.76,131
12417,512723,346.25,49
12417,516566,184.55,186
12417,523163,284.8,100
12417,524862,202.06,105
12417,527288,340,83
12417,528920,344.2,75
12418,501813,343.94,202
12418,508053,535.37,147
12418,528435,473.31,332
12419,528438,322.91,208
12419,533826,180.1,23
12421,516735,77.8,29
12421,528117,213.76,139
12422,492744,75,60
12422,497879,662.25,425
12422,503860,396.2,487
12422,507060,662.25,1
12422,507061,396.2,1
12422,509188,404.44,294
12422,509644,80,2
12422,514371,245.73,362
12422,514484,36,2
12422,514486,40,1
