frequency,recency,T,monetary_value,pred_purchases,est_trans_value,clv
6.0,196.0,382.0,47.14333333333334,2.73,109.17768350067286,287.8199969383772
1.0,37.0,61.0,711.79,2.47,554.5758345099068,1338.017709879815
2.0,182.0,246.0,801.31,1.58,660.029458202871,1001.9377335244176
1.0,17.0,49.0,200.05,2.73,320.75993022978605,860.7979316233371
2.0,44.0,81.0,1325.905,3.38,989.0689134648188,3330.518235854569
2.0,356.0,388.0,644.59,1.08,561.7306497341428,579.0800961878056
5.0,309.0,391.0,360.534,2.28,372.3997126458669,817.3718373490675
4.0,276.0,312.0,368.2075,2.27,380.6021841948883,834.9287667553424
2.0,220.0,339.0,106.075,1.21,223.9602130155545,259.5907025695911
2.0,228.0,298.0,721.415,1.35,609.9172625506949,789.2662383926105
1.0,44.0,325.0,211.66,0.79,326.0645822966407,223.90709971044097
1.0,236.0,302.0,1571.74,0.84,947.4901794618156,740.7759278449072
1.0,49.0,330.0,325.15,0.78,377.9185842834912,257.2787440528007
1.0,167.0,245.0,857.75,0.99,621.2654999429908,576.9214713964228
1.0,28.0,74.0,70.6,2.23,261.61374503992084,564.2137200406637
1.0,208.0,246.0,587.24,0.99,497.6684774964057,462.2509929457139
1.0,112.0,191.0,400.5,1.21,412.3462787914584,466.10589554275464
3.0,197.0,319.0,1311.3966666666665,1.75,1059.0942055287467,1786.3876208644804
1.0,137.0,239.0,658.83,1.01,530.3782140567955,500.8964269593187
2.0,253.0,312.0,634.24,1.3,555.2388639528045,691.0742644399636
3.0,198.0,319.0,533.38,1.75,501.8614910326082,846.4991297834739
1.0,46.0,85.0,513.05,2.07,463.7707912914145,924.2593069188171
3.0,231.0,259.0,307.73333333333335,2.08,340.24836631333665,683.8758146278943
2.0,259.0,301.0,323.835,1.34,360.54487695219467,462.64828167241643
4.0,278.0,327.0,209.9,2.18,258.5606868237529,544.8940795771338
2.0,298.0,354.0,1046.93,1.17,814.0886295663794,909.067119369991
2.0,113.0,155.0,629.06,2.24,551.9898349337386,1202.0335135050375
3.0,145.0,222.0,1848.0466666666669,2.35,1443.4547842237441,3289.213932304673
2.0,137.0,196.0,349.585,1.88,376.6959381956209,685.9895576858336
6.0,152.0,184.0,2869.516666666667,4.92,2464.870599059626,11904.660895421715
10.0,323.0,390.0,285.871,4.29,300.36609586245487,1248.2474506220747
2.0,217.0,287.0,504.34000000000003,1.39,473.7622482044138,632.8229727830796
1.0,28.0,70.0,180.1,2.3,311.64470122601773,694.374123047482
1.0,90.0,162.0,213.76,1.36,327.02408008651105,419.0002800280996
10.0,327.0,378.0,435.32399999999996,4.41,433.94169912914447,1853.4442251437902
1.0,78.0,122.0,464.28000000000003,1.65,441.48759738094935,696.0387410984185
1.0,126.0,205.0,1132.53,1.14,746.813501228979,799.1782524449345
2.0,181.0,203.0,1164.075,1.83,887.5649817745797,1572.5071623523856
10.0,320.0,350.0,325.025,4.7,335.3605032701614,1531.5858068535067
4.0,110.0,133.0,1763.2475000000002,4.34,1456.0583090950274,6244.630996127172
3.0,341.0,394.0,1696.0133333333335,1.47,1334.565154146544,1874.8332440810275
18.0,342.0,394.0,397.42833333333334,7.43,398.9697876417826,2880.6590011656294
1.0,43.0,382.0,76.52000000000001,0.69,264.3186149999363,154.51525576625752
1.0,255.0,374.0,290.69,0.7,362.17368245542826,234.91995972281026
1.0,28.0,95.0,90.0,1.94,270.47767700348504,498.73750951479184
2.0,75.0,131.0,170.95,2.51,264.6514789637981,650.8482253206545
1.0,66.0,186.0,1483.09,1.23,906.9856656180029,1035.2230170051726
3.0,26.0,78.0,2805.9733333333334,4.74,2129.543012952654,10127.56978645171
3.0,276.0,378.0,592.2199999999999,1.52,544.0039981609295,792.4579830697076
1.0,60.0,144.0,449.48,1.48,434.72542248091065,604.6591415895864
2.0,156.0,339.0,1249.985,1.21,941.4499398880843,1090.8964132058534
1.0,14.0,193.0,1113.7,1.2,738.2100043798082,783.3084540888825
27.0,358.0,389.0,702.36,11.14,690.5510936419107,7479.092866872374
12.0,356.0,382.0,835.1708333333332,5.18,797.961400700841,4012.8594500150134
11.0,288.0,323.0,444.5418181818182,5.5,442.373998308021,2368.600788743991
7.0,105.0,158.0,866.75,6.32,802.2364674162515,5004.802022704767
2.0,224.0,280.0,2517.7,1.42,1736.5933419933276,2368.2466650597316
2.0,108.0,164.0,865.6600000000001,2.15,700.3914306694526,1462.2907174390407
5.0,242.0,264.0,759.0939999999999,3.16,694.4088137541662,2132.124019062717
5.0,77.0,310.0,3450.728,2.77,2869.0641852227945,7627.671057158401
9.0,299.0,334.0,259.32222222222225,4.44,278.33726817604236,1198.9318849109027
5.0,198.0,338.0,252.62600000000003,2.58,285.2174613351624,710.3794608039748
10.0,360.0,395.0,380.177,4.24,384.65333560784933,1580.809421762663
2.0,211.0,233.0,140.95000000000002,1.65,245.83470858310744,390.08969603520666
1.0,244.0,301.0,3993.6400000000003,0.84,2054.065273408008,1611.4306310206052
